Wall time,Step,Value
1511834347.0549924,23740,22.0
1511834359.0258744,23742,24.0
1511834482.3006642,23780,24.0
1511835457.6621,24080,23.0
1511835770.4641342,24185,22.0
1511836439.280426,24391,19.0
1511837452.3259394,24711,19.0
1511837901.0594947,24847,9.0
1511839277.0280347,25275,19.0
1511839380.790082,25307,24.0
1511839613.5553918,25379,24.0
1511840808.7473817,25761,23.0
1511842358.479207,26259,19.0
1511842358.6420023,26258,33.0
1511843480.3024676,26612,19.0
1511844593.8655033,26963,22.0
1511844901.3283849,27058,23.0
1511845019.7895098,27096,24.0
1511845615.9581344,27287,31.0
1511845900.741449,27375,24.0
1511847534.6403189,27896,23.0
1511847875.3324301,28004,23.0
1511849259.9790618,28426,22.0
1511849355.367734,28454,8.0
1511849577.7948039,28520,23.0
1511850020.2324862,28659,22.0
1511850232.91353,28721,18.0
1511850921.0757842,28930,21.0
1511851395.2044916,29067,23.0
1511852126.1443942,29290,13.0
1511852724.6671727,29465,24.0
1511852804.3779886,29490,24.0
1511853284.7680895,29629,18.0
1511853794.883031,29782,23.0
1511854273.394788,29931,23.0
1511854744.4993758,30071,23.0
1511855053.1778827,30162,4.0
1511855107.0641441,30177,22.0
1511857424.5650373,30867,10.0
1511857557.028762,30900,9.0
1511858999.340011,31339,4.0
1511859188.9738493,31397,14.0
1511859405.0733619,31461,7.0
1511860106.4770608,31666,8.0
1511860839.1928566,31893,23.0
1511861198.636772,31999,19.0
1511861594.405263,32119,21.0
1511861940.4520645,32220,23.0
1511862387.3658578,32353,19.0
1511862414.6767807,32360,22.0
1511862838.429832,32491,23.0
1511863323.7279594,32639,16.0
1511863983.1947353,32833,23.0
1511864067.0856795,32859,22.0
1511865175.7168293,33195,10.0
1511865204.1017218,33206,7.0
1511865284.7167556,33226,11.0
1511865340.517025,33245,10.0
1511865517.8934026,33297,6.0
1511865641.756808,33335,9.0
1511865775.9306843,33377,9.0
1511866179.704737,33494,12.0
1511867257.2655623,33820,24.0
1511867785.1299107,33985,20.0
1511868023.1010685,34055,20.0
1511870502.7367,34791,22.0
1511870569.5830092,34812,21.0
1511871004.948805,34940,22.0
1511871952.8525784,35228,22.0
1511872197.461667,35305,24.0
1511872552.3919063,35412,22.0
1511872817.3971527,35496,18.0
1511874778.1545947,36087,23.0
1511874883.7418525,36120,24.0
1511875249.841972,36225,23.0
1511875507.170818,36306,23.0
1511876668.6465428,36662,23.0
1511877622.761114,36948,24.0
1511878556.5030837,37222,24.0
1511878959.397577,37334,24.0
1511880898.3433406,37913,2.0
1511881735.8564405,38178,4.0
1511882109.4202902,38296,5.0
1511882562.7084558,38440,7.0
1511883554.1022134,38751,4.0
1511884941.1923032,39159,5.0
1511885539.4865556,39336,7.0
1511885652.2477736,39369,8.0
1511886026.3194895,39475,12.0
1511887029.314681,39755,8.0
1511887745.0632005,39960,6.0
1511888294.6090374,40119,6.0
1511888321.047542,40125,9.0
1511888486.7743535,40179,12.0
1511888732.0620604,40251,6.0
1511889563.190877,40498,14.0
1511890232.1521163,40702,15.0
1511890314.4615543,40729,20.0
1511890538.8275855,40799,11.0
1511891185.2757711,40997,13.0
1511893122.2593167,41593,22.0
1511894153.8857958,41908,12.0
1511894207.7895684,41926,22.0
1511894864.9529343,42136,23.0
1511897569.114018,42976,9.0
1511897856.0172386,43064,23.0
1511897948.5341396,43097,24.0
1511898188.3512013,43171,23.0
1511898271.6144907,43195,24.0
1511898295.0368412,43200,20.0
1511898484.4413617,43262,20.0
1511899098.9748075,43450,22.0
1511899360.6793406,43531,23.0
1511899760.3777282,43658,24.0
1511899777.3422053,43664,24.0
1511899930.0142164,43716,7.0
1511900094.4963343,43760,23.0
1511901751.0282755,44275,24.0
1511902243.8687234,44421,24.0
1511903436.8724546,44767,23.0
1511903653.220075,44829,23.0
1511904114.9283607,44965,24.0
1511904634.7694974,45116,21.0
1511906887.569387,45776,28.0
1511906941.9104497,45793,19.0
1511907184.285617,45871,35.0
1511910205.5526457,46759,22.0
1511911117.280109,47041,21.0
1511911298.4603589,47096,15.0
1511911406.2869031,47129,24.0
1511911518.5060234,47163,21.0
1511911648.560475,47202,22.0
