Wall time,Step,Value
1512429219.641324,21410,21.0
1512429509.736992,21485,20.0
1512429686.3329067,21524,23.0
1512430303.2549984,21682,11.0
1512430473.7538388,21723,21.0
1512430766.5519419,21797,21.0
1512430862.9634652,21822,20.0
1512430955.6480715,21843,20.0
1512430960.23808,21849,21.0
1512431630.2822042,22007,23.0
1512432586.3958504,22245,22.0
1512432634.0786762,22260,21.0
1512432776.4477558,22293,19.0
1512432940.4426494,22330,21.0
1512433046.0876079,22360,22.0
1512433497.3236508,22473,22.0
1512433643.0745618,22508,23.0
1512433782.5102105,22544,22.0
1512434168.9417508,22636,21.0
1512434714.5549467,22766,23.0
1512435007.954719,22837,20.0
1512435393.3081338,22931,20.0
1512435394.7139142,22935,22.0
1512435989.6845694,23083,23.0
1512436207.425347,23138,19.0
1512436249.6922808,23148,21.0
1512436384.7837086,23183,19.0
1512436428.4492333,23193,21.0
1512436546.3474174,23219,20.0
1512436708.1334577,23264,21.0
1512436796.5154252,23287,21.0
1512437095.6619616,23362,18.0
1512437172.4977806,23380,20.0
1512437363.5106673,23427,22.0
1512437812.0328484,23542,18.0
1512437997.1335819,23590,21.0
1512438329.795573,23670,21.0
1512438376.450254,23681,20.0
1512438468.1351023,23702,19.0
1512438761.304928,23773,19.0
1512439444.6130197,23943,16.0
1512440008.6156492,24080,21.0
1512440164.042615,24119,21.0
1512440288.1161745,24149,18.0
1512440636.9882843,24235,21.0
1512440846.9492228,24283,21.0
1512440851.2578878,24286,14.0
1512440992.0413961,24322,19.0
1512441107.2922509,24346,21.0
1512441383.003388,24417,22.0
1512441963.3722653,24558,22.0
1512442234.0339139,24622,20.0
1512442613.582855,24720,21.0
1512442659.7293065,24729,21.0
1512443366.872134,24903,11.0
1512443506.9704895,24936,22.0
1512443826.3632512,25009,21.0
1512443989.9223957,25049,9.0
1512444344.1356585,25134,20.0
1512444731.2189307,25232,20.0
1512444779.054753,25244,22.0
1512444823.5289705,25254,22.0
1512445140.9999626,25334,21.0
1512445389.2983434,25393,18.0
1512445857.1676328,25506,20.0
1512445908.3656056,25522,18.0
1512446243.065586,25600,20.0
1512446594.2355745,25687,19.0
1512447107.6860921,25813,20.0
1512447244.893015,25848,14.0
1512447562.513632,25922,22.0
1512448084.2364402,26046,21.0
1512448170.5088813,26067,20.0
1512448279.4596648,26092,20.0
1512448539.1837618,26156,23.0
1512448605.4970324,26170,21.0
1512449108.665719,26293,20.0
1512449155.3037407,26304,20.0
1512449562.6018226,26404,21.0
1512449852.790071,26469,21.0
1512450688.4570374,26671,22.0
1512451217.0653205,26797,19.0
1512451219.0705574,26798,17.0
1512451328.4971359,26827,21.0
1512451354.2242506,26830,20.0
1512451761.921016,26928,20.0
1512452636.513367,27144,7.0
1512452658.5773966,27148,21.0
1512452684.696996,27154,21.0
1512452698.757952,27163,12.0
1512452705.0846853,27164,14.0
1512453169.7019536,27274,21.0
1512454114.4394877,27506,21.0
1512454493.5847137,27604,21.0
1512454538.6152182,27615,21.0
1512454562.3740344,27621,20.0
1512454634.7135015,27638,21.0
1512455048.8697796,27740,22.0
1512455404.07078,27826,23.0
1512455759.177291,27917,14.0
1512455790.2629955,27919,20.0
1512455896.301497,27951,21.0
1512455979.2203343,27969,22.0
1512457125.9688492,28252,20.0
1512457224.0623658,28276,22.0
1512457414.9393933,28322,22.0
1512457882.4202938,28439,21.0
1512457935.006188,28452,21.0
1512458310.3048458,28544,19.0
1512458423.1815138,28573,22.0
1512458587.2247398,28612,21.0
1512460062.9715836,28972,20.0
1512460162.2019002,28997,20.0
1512460257.2757072,29020,20.0
